A00,Cólera
C600,Neoplasia maligna prepúcio
C601,Neoplasia maligna glande
C602,Neoplasia maligna corpo pênis
C608,Neoplasia maligna pênis lesão invasiva
C609,Neoplasia maligna pênis
C61,Neoplasia maligna próstata
C62,Neoplasia maligna testículos
C620,Neoplasia maligna testículo criptorquídico
C621,Neoplasia maligna testículo tópico
C629,Neoplasia maligna testículo
C63,Neoplasia maligna outros órgãos genitais masculinos não especificados
C630,Neoplasia maligna epidídimo
C631,Neoplasia maligna cordão espermático
C632,Neoplasia maligna escroto
C637,Neoplasia maligna outros órgãos genitais masculinos especificados
C638,Neoplasia maligna órgãos genitais masculinos lesão invasiva
C639,Neoplasia maligna órgão genital masculino
C64,Neoplasia maligna rim
C65,Neoplasia maligna pelve renal
C66,Neoplasia maligna ureteres
C67,Neoplasia maligna bexiga
C670,Neoplasia maligna trígono bexiga
C671,Neoplasia maligna cúpula bexiga
C672,Neoplasia maligna parede lateral bexiga
C673,Neoplasia maligna parede anterior bexiga
C674,Neoplasia maligna parede posterior bexiga
C675,Neoplasia maligna colo bexiga
C676,Neoplasia maligna orifício uretérico
C677,Neoplasia maligna úraco
C678,Neoplasia maligna bexiga lesão invasiva
C679,Neoplasia maligna bexiga
C68,Neoplasia maligna outros órgãos urinários não especificados
C680,Neoplasia maligna uretra
C681,Neoplasia maligna glândula parauretral
C688,Neoplasia maligna órgãos urinários lesão invasiva
C689,Neoplasia maligna órgão urinário
C69,Neoplasia maligna olho anexos
C690,Neoplasia maligna conjuntiva
C691,Neoplasia maligna córnea
C692,Neoplasia maligna retina
C693,Neoplasia maligna coróide
C694,Neoplasia maligna corpo ciliar
C695,Neoplasia maligna glândula canal lacrimal
C696,Neoplasia maligna órbita
C698,Neoplasia maligna olho anexos lesão invasiva
C699,Neoplasia maligna olho
C70,Neoplasia maligna meninges
C700,Neoplasia maligna meninges cerebrais
C701,Neoplasia maligna meninges espinhais
C709,Neoplasia maligna meninge
C71,Neoplasia maligna encéfalo
C710,Neoplasia maligna cérebro
C711,Neoplasia maligna lobo frontal
C712,Neoplasia maligna lobo temporal
C713,Neoplasia maligna lobo parietal
C714,Neoplasia maligna lobo occipital
C715,Neoplasia maligna ventrículo cerebral
C716,Neoplasia maligna cerebelo
C717,Neoplasia maligna tronco cerebral
C718,Neoplasia maligna encéfalo lesão invasiva
C719,Neoplasia maligna encéfalo
C72,Neoplasia maligna medula espinhal
C720,Neoplasia maligna medula espinhal
C721,Neoplasia maligna cauda eqüina
C722,Neoplasia maligna nervo olfativo
C723,Neoplasia maligna nervo óptico
C724,Neoplasia maligna nervo acústico
C725,Neoplasia maligna outros nervos cranianos os não especificados
C728,Neoplasia maligna encéfalo outras partes sistema nervoso central lesão invasiva
C729,Neoplasia maligna sistema nervoso central
C73,Neoplasia maligna glândula tireóide
C74,Neoplasia maligna glândula supra-renal [Glândula adrenal]
C740,Neoplasia maligna córtex supra-renal
C741,Neoplasia maligna medula supra-renal
C749,Neoplasia maligna glândula supra-renal
C75,Neoplasia maligna outras glândulas endócrinas estruturas relacionadas
C750,Neoplasia maligna glândula paratireóide
C751,Neoplasia maligna glândula hipófise (pituitária)
C752,Neoplasia maligna conduto craniofaríngeo
C753,Neoplasia maligna glândula pineal
C754,Neoplasia maligna corpo carotídeo
C755,Neoplasia maligna corpo aórtico outros paragânglios
C758,Neoplasia maligna comprometimento pluriglandular
C759,Neoplasia maligna glândula endócrina
C76,Neoplasia maligna outras localizações localizações mal definidas
C760,Neoplasia maligna cabeça
C761,Neoplasia maligna tórax
C762,Neoplasia maligna abdome
C763,Neoplasia maligna pelve
C764,Neoplasia maligna membro superior
C765,Neoplasia maligna membro inferior
C767,Neoplasia maligna outras localizações mal definidas
C768,Neoplasia maligna outras localizações mal definidas lesão invasiva
C77,Neoplasia maligna secundária não especificada gânglios linfáticos
C770,Neoplasia maligna secundária não especificada gânglios linfáticos cabeça
C771,Neoplasia maligna secundária não especificada gânglios linfáticos intratorácicos
C772,Neoplasia maligna secundária não especificada gânglios linfáticos intra-abdominais
C773,Neoplasia maligna secundária não especificada gânglios linfáticos axilares membros superiores
C774,Neoplasia maligna secundária não especificada gânglios linfáticos inguinais membros inferiores
C775,Neoplasia maligna secundária não especificada gânglios linfáticos intrapélvicos
C778,Neoplasia maligna secundária não especificada gânglios linfáticos múltiplas regiões
C779,Neoplasia maligna secundária não especificada gânglio linfático
C78,Neoplasia maligna secundária órgãos respiratórios digestivos
C780,Neoplasia maligna secundária pulmões
C781,Neoplasia maligna secundária mediastino
C782,Neoplasia maligna secundária pleura
C783,Neoplasia maligna secundária outros órgãos respiratórios não especificados
C784,Neoplasia maligna secundária intestino delgado
C785,Neoplasia maligna secundária intestino grosso reto
C786,Neoplasia maligna secundária retroperitônio peritônio
C787,Neoplasia maligna secundária fígado
C788,Neoplasia maligna secundária outros órgãos digestivos não especificados
C79,Neoplasia maligna secundária outras localizações
C790,Neoplasia maligna secundária rim pelve renal
C791,Neoplasia maligna secundária bexiga
C792,Neoplasia maligna secundária pele
C793,Neoplasia maligna secundária encéfalo meninges cerebrais
C794,Neoplasia maligna secundária outras partes sistema nervoso não especificadas
C795,Neoplasia maligna secundária ossos medula óssea
C796,Neoplasia maligna secundária ovário
C797,Neoplasia maligna secundária glândulas supra-renais (adrenais)
C798,Neoplasia maligna secundária outra localização especificada
C80,Neoplasia maligna
C81,Doença Hodgkin
C810,Doença Hodgkin
C811,Doença Hodgkin
C812,Doença Hodgkin
C813,Doença Hodgkin
C817,Outra forma doença Hodgkin
C819,Doença Hodgkin
C82,Linfoma não-Hodgkin
C820,Linfoma não-Hodgkin
C821,Linfoma não-Hodgkin
C822,Linfoma não-Hodgkin
C827,Outros tipos linfoma não-Hodgkin
C829,Linfoma não-Hodgkin
C83,Linfoma não-Hodgkin difuso
C830,Linfoma não-Hodgkin difuso
C831,Linfoma não-Hodgkin difuso
C832,Linfoma não-Hodgkin difuso
C833,Linfoma não-Hodgkin difuso
C834,Linfoma não-Hodgkin difuso
C835,Linfoma não-Hodgkin difuso
C836,Linfoma não-Hodgkin difuso
C837,Tumor Burkitt
C838,Outros tipos linfoma não-Hodgkin difuso
C839,Linfoma não-Hodgkin difuso
C84,Linfomas células T cutâneas periféricas
C840,Micose fungóide
C841,Doença Sézary
C842,Linfoma zona T
C843,Linfoma linfoepitelióide
C844,Linfoma células T
C845,Outros linfomas células T os não especificados
C85,Linfoma não-Hodgkin outros tipos tipo não especificado
C850,Linfossarcoma
C851,Linfoma células B
C857,Outros tipos especificados linfoma não-Hodgkin
C859,Linfoma não-Hodgkin tipo não especificado
C88,Doenças imunoproliferativas malignas
C880,Macroglobulinemia Waldenström
C881,Doença cadeia pesada alfa
C882,Doença cadeia pesada gama
C883,Doença imunoproliferativa intestino delgado
C887,Outras doenças imunoproliferativas malignas
C889,Doença imunoproliferativa maligna
C90,Mieloma múltiplo neoplasias malignas plasmócitos
C900,Mieloma múltiplo
C901,Leucemia plasmocitária
C902,Plasmocitoma extramedular
C91,Leucemia linfóide
C910,Leucemia linfoblástica aguda
C911,Leucemia linfocítica crônica
C912,Leucemia linfocítica subaguda
C913,Leucemia pró-linfocítica
C914,Leucemia células pilosas
C915,Leucemia células T adulto
C917,Outras leucemias linfóides
C919,Leucemia linfóide
C92,Leucemia mielóide
C920,Leucemia mielóide aguda
C921,Leucemia mielóide crônica
C922,Leucemia mielóide subaguda
C923,Sarcoma mielóide
C924,Leucemia pró-mielocítica aguda
C925,Leucemia mielomonocítica aguda
C927,Outras leucemias mielóides
C929,Leucemia mielóide
C93,Leucemia monocítica
C930,Leucemia monocítica aguda
C931,Leucemia monocítica crônica
C932,Leucemia monocítica subaguda
C937,Outras leucemias monocíticas
C939,Leucemia monocítica
C94,Outras leucemias células tipo especificado
C940,Eritremia eritroleucemia agudas
C941,Eritremia crônica
C942,Leucemia megacarioblástica aguda
C943,Leucemia mastócitos
C944,Panmielose aguda
C945,Mielofibrose aguda
C947,Outras leucemias especificadas
C95,Leucemia tipo celular não especificado
C950,Leucemia aguda tipo celular não especificado
C951,Leucemia crônica tipo celular não especificado
C952,Leucemia subaguda tipo celular não especificado
C957,Outras leucemias tipo celular não especificado
C959,Leucemia não especificada
C96,Outras neoplasias malignas as não especificadas tecidos linfático
C960,Doença Letterer-Siwe
C961,Histiocitose maligna
C962,Tumor maligno mastócitos
C963,Linfoma histiocítico verdadeiro
C967,Outras neoplasias malignas especificadas tecidos linfático
C969,Neoplasia maligna tecidos linfático
C97,Neoplasias malignas localizações múltiplas independentes (primárias)
D00,Carcinoma in situ cavidade oral
D000,Carcinoma in situ lábios
D001,Carcinoma in situ esôfago
D002,Carcinoma in situ estômago
D01,Carcinoma in situ outros órgãos digestivos
D010,Carcinoma in situ cólon
D011,Carcinoma in situ junção retossigmóide
D012,Carcinoma in situ reto
D013,Carcinoma in situ ânus canal anal
D014,Carcinoma in situ outras partes intestino as não especificadas
D015,Carcinoma in situ fígado
D017,Carcinoma in situ outros órgãos especificados aparelho digestivo
D019,Carcinoma in situ órgãos digestivos
D02,Carcinoma in situ ouvido médio aparelho respiratório
D020,Carcinoma in situ laringe
D021,Carcinoma in situ traquéia
D022,Carcinoma in situ brônquios pulmões
D023,Carcinoma in situ outras partes aparelho respiratório
D029,Carcinoma in situ aparelho respiratório
D03,Melanoma in situ
D030,Melanoma in situ lábio
D031,Melanoma in situ pálpebra
D032,Melanoma in situ orelha conduto auditivo externo
D033,Melanoma in situ outras partes
D034,Melanoma in situ couro cabeludo pescoço
D035,Melanoma in situ tronco
D036,Melanoma in situ membros superiores
D037,Melanoma in situ membros inferiores
D038,Melanoma in situ outras localizações
D039,Melanoma in situ
D04,Carcinoma in situ pele
D040,Carcinoma in situ pele lábio
D041,Carcinoma in situ pele pálpebra
D042,Carcinoma in situ pele orelha conduto auditivo externo
D043,Carcinoma in situ pele outras partes partes não especificadas face
D044,Carcinoma in situ pele couro cabeludo pescoço
D045,Carcinoma in situ pele tronco
D046,Carcinoma in situ pele membros superiores
D047,Carcinoma in situ pele membros inferiores
D048,Carcinoma in situ pele outras localizações
D049,Carcinoma in situ pele
D05,Carcinoma in situ mama
D050,Carcinoma lobular in situ
D051,Carcinoma intraductal in situ
D057,Outros carcinomas in situ
D059,Carcinoma in situ mama
D06,Carcinoma in situ colo útero (cérvix)
D060,Carcinoma in situ endocérvix
D061,Carcinoma in situ exocérvix
D067,Carcinoma in situ outras partes colo útero
D069,Carcinoma in situ colo útero
D07,Carcinoma in situ outros órgãos genitais não especificados
D070,Carcinoma in situ endométrio
D071,Carcinoma in situ vulva
D072,Carcinoma in situ vagina
D073,Carcinoma in situ outros órgãos genitais femininos os não especificados
D074,Carcinoma in situ pênis
D075,Carcinoma in situ próstata
D076,Carcinoma in situ outros órgãos genitais masculinos os não especificados
D09,Carcinoma in situ outras localizações não especificadas
D090,Carcinoma in situ bexiga
D091,Carcinoma in situ outros órgãos urinários os não especificados
D092,Carcinoma in situ olho
D093,Carcinoma in situ tireóide outras glândulas endócrinas
D097,Carcinoma in situ outras localizações especificadas
D099,Carcinoma in situ
D10,Neoplasia benigna boca faringe
D100,Neoplasia benigna lábios
D101,Neoplasia benigna língua
D102,Neoplasia benigna assoalho boca
D103,Neoplasia benigna outras partes boca as não especificadas
D104,Neoplasia benigna amígdala
D105,Neoplasia benigna outras partes orofaringe
D106,Neoplasia benigna nasofaringe
D107,Neoplasia benigna hipofaringe
D109,Neoplasia benigna faringe
D11,Neoplasia benigna glândulas salivares maiores
D110,Neoplasia benigna glândula parótida
D117,Neoplasia benigna outras glândulas salivares maiores
D119,Neoplasia benigna glândula salivar maior
D12,Neoplasia benigna cólon
D120,Neoplasia benigna ceco
D121,Neoplasia benigna apêndice (vermiforme)
D122,Neoplasia benigna cólon ascendente
D123,Neoplasia benigna cólon transverso
D124,Neoplasia benigna cólon descendente
D125,Neoplasia benigna cólon sigmóide
D126,Neoplasia benigna cólon
D127,Neoplasia benigna junção retossigmóide
D128,Neoplasia benigna reto
D129,Neoplasia benigna canal anal ânus
D13,Neoplasia benigna outras partes partes mal definidas aparelho digestivo
D130,Neoplasia benigna esôfago
D131,Neoplasia benigna estômago
D132,Neoplasia benigna duodeno
D133,Neoplasia benigna outras partes partes não especificadas intestino delgado
D134,Neoplasia benigna fígado
D135,Neoplasia benigna vias biliares extra-hepáticas
D136,Neoplasia benigna pâncreas
D137,Neoplasia benigna pâncreas endócrino
D139,Neoplasia benigna localizações mal definidas aparelho digestivo
D14,Neoplasia benigna ouvido médio aparelho respiratório
D140,Neoplasia benigna ouvido médio
D141,Neoplasia benigna laringe
D142,Neoplasia benigna traquéia
D143,Neoplasia benigna brônquios pulmão
D144,Neoplasia benigna aparelho respiratório
D15,Neoplasia benigna outros órgãos intratorácicos não especificados
D150,Neoplasia benigna timo
D151,Neoplasia benigna coração
D152,Neoplasia benigna mediastino
D157,Neoplasia benigna outros órgãos intratorácicos especificados
D159,Neoplasia benigna órgão intratorácico
D16,Neoplasia benigna osso cartilagem articular
D160,Neoplasia benigna omoplata [escápula] ossos longos membros superiores
D161,Neoplasia benigna ossos curtos membros superiores
D162,Neoplasia benigna ossos longos membros inferiores
D163,Neoplasia benigna ossos curtos membros inferiores
D164,Neoplasia benigna ossos crânio face
D165,Neoplasia benigna osso mandíbula
D166,Neoplasia benigna coluna vertebral
D167,Neoplasia benigna costelas
D168,Neoplasia benigna ossos pélvicos
D169,Neoplasia benigna osso cartilagem articular
D17,Neoplasia lipomatosa benigna
D170,Neoplasia lipomatosa benigna pele tecido subcutâneo cabeça
D171,Neoplasia lipomatosa benigna pele tecido subcutâneo tronco
D172,Neoplasia lipomatosa benigna pele tecido subcutâneo membros
D173,Neoplasia lipomatosa benigna pele tecido subcutâneo outras localizações localizações não especificadas
D174,Neoplasia lipomatosa benigna órgãos intratorácicos
D175,Neoplasia lipomatosa benigna órgãos intra-abdominais
D176,Neoplasia lipomatosa benigna cordão espermático
D177,Neoplasia lipomatosa benigna outras localizações
D179,Neoplasia lipomatosa benigna localização não especificada
D18,Hemangioma linfangioma qualquer localização
D180,Hemangioma qualquer localização
D181,Linfangioma qualquer localização
D19,Neoplasia benigna tecido mesotelial
D190,Neoplasia benigna tecido mesotelial pleura
D191,Neoplasia benigna tecido mesotelial peritônio
D197,Neoplasia benigna tecido mesotelial outras localizações
D199,Neoplasia benigna tecido mesotelial
D20,Neoplasia benigna tecido mole retroperitônio peritônio
D200,Neoplasia benigna retroperitônio
D201,Neoplasia benigna peritônio
D21,Outras neoplasias benignas tecido conjuntivo outros tecidos moles
D210,Neoplasia benigna tecido conjuntivo outros tecidos moles cabeça
D211,Neoplasia benigna tecido conjuntivo outros tecidos moles membros superiores
D212,Neoplasia benigna tecido conjuntivo outros tecidos moles membros inferiores
D213,Neoplasia benigna tecido conjuntivo outros tecidos moles tórax
D214,Neoplasia benigna tecido conjuntivo outros tecidos moles abdome
D215,Neoplasia benigna tecido conjuntivo outros tecidos moles pelve
D216,Neoplasia benigna tecido conjuntivo outros tecidos moles tronco
D219,Neoplasia benigna tecido conjuntivo outros tecidos moles
D22,Nevos melanocíticos
D220,Nevo melanocítico lábio
D221,Nevo melanocítico pálpebra
D222,Nevo melanocítico orelha conduto auditivo externo
D223,Nevo melanocítico outras partes partes não especificadas face
D224,Nevo melanocítico couro cabeludo pescoço
D225,Nevo melanocítico tronco
D226,Nevo melanocítico membros superiores
D227,Nevo melanocítico membros inferiores
D229,Nevo melanocítico
D23,Outras neoplasias benignas pele
D230,Neoplasia benigna pele lábios
D231,Neoplasia benigna pele pálpebra
D232,Neoplasia benigna pele orelha conduto auditivo externo
D233,Neoplasia benigna pele outras partes partes não especificadas face
D234,Neoplasia benigna pele couro cabeludo pescoço
D235,Neoplasia benigna pele tronco
D236,Neoplasia benigna pele membros superiores
D237,Neoplasia benigna pele membros inferiores
D239,Neoplasia benigna pele
D24,Neoplasia benigna mama
D25,Leiomioma útero
D250,Leiomioma submucoso útero
D251,Leiomioma intramural útero
D252,Leiomioma subseroso útero
D259,Leiomioma útero
D26,Outras neoplasias benignas útero
D260,Neoplasia benigna colo útero
D261,Neoplasia benigna corpo útero
D267,Neoplasia benigna outras partes útero
D269,Neoplasia benigna útero
D27,Neoplasia benigna ovário
D28,Neoplasia benigna outros órgãos genitais femininos órgãos não especificados
D280,Neoplasia benigna vulva
D281,Neoplasia benigna vagina
D282,Neoplasia benigna trompas ligamentos uterinos
D287,Neoplasia benigna outros órgãos genitais femininos especificados
D289,Neoplasia benigna órgão genital feminino
D29,Neoplasia benigna órgãos genitais masculinos
D290,Neoplasia benigna pênis
D291,Neoplasia benigna próstata
D292,Neoplasia benigna testículos
D293,Neoplasia benigna epidídimo
D294,Neoplasia benigna escroto
D297,Neoplasia benigna outros órgãos genitais masculinos
D299,Neoplasia benigna órgão genital masculino
D30,Neoplasia benigna órgãos urinários
D300,Neoplasia benigna rim
D301,Neoplasia benigna pelve renal
D302,Neoplasia benigna ureter
D303,Neoplasia benigna bexiga
D304,Neoplasia benigna uretra
D307,Neoplasia benigna outros órgãos urinários
D309,Neoplasia benigna órgão urinário
D31,Neoplasia benigna olho anexos
D310,Neoplasia benigna conjuntiva
D311,Neoplasia benigna córnea
D312,Neoplasia benigna retina
D313,Neoplasia benigna coróide
D314,Neoplasia benigna corpo ciliar
D315,Neoplasia benigna glândulas canais lacrimais
D316,Neoplasia benigna órbita
D319,Neoplasia benigna olho
D32,Neoplasia benigna meninges
D320,Neoplasia benigna meninges cerebrais
D321,Neoplasia benigna meninges espinhais
D329,Neoplasia benigna meninges
D33,Neoplasia benigna encéfalo outras partes sistema nervoso central
D330,Neoplasia benigna encéfalo
D331,Neoplasia benigna encéfalo
D332,Neoplasia benigna encéfalo
D333,Neoplasia benigna nervos cranianos
D334,Neoplasia benigna medula espinhal
D337,Neoplasia benigna outras partes especificadas sistema nervoso central
D339,Neoplasia benigna sistema nervoso central
D34,Neoplasia benigna glândula tireóide
D35,Neoplasia benigna outras glândulas endócrinas não especificadas
D350,Neoplasia benigna glândula supra-renal (adrenal)
D351,Neoplasia benigna glândula paratireóide
D352,Neoplasia benigna glândula hipófise (pituitária)
D353,Neoplasia benigna conduto craniofaríngeo
D354,Neoplasia benigna glândula pineal
D355,Neoplasia benigna corpo carotídeo
D356,Neoplasia benigna corpos aórticos outros paragânglios
D357,Neoplasia benigna outras glândulas endócrinas especificadas
D358,Neoplasia benigna comprometimento pluriglandular
D359,Neoplasia benigna glândula endócrina
D36,Neoplasia benigna outras localizações localizações não especificadas
D360,Neoplasia benigna gânglios linfáticos (linfonodos)
D361,Neoplasia benigna nervos periféricos sistema nervoso autônomo
D367,Neoplasia benigna outras localizações especificadas
D369,Neoplasia benigna localização não especificada
D37,Neoplasia comportamento incerto desconhecido cavidade oral órgãos digestivos
D370,Neoplasia comportamento incerto desconhecido lábio
D371,Neoplasia comportamento incerto desconhecido estômago
D372,Neoplasia comportamento incerto desconhecido intestino delgado
D373,Neoplasia comportamento incerto desconhecido apêndice
D374,Neoplasia comportamento incerto desconhecido cólons
D375,Neoplasia comportamento incerto desconhecido reto
D376,Neoplasia comportamento incerto desconhecido fígado
D377,Neoplasia comportamento incerto desconhecido outros órgãos digestivos
D379,Neoplasia comportamento incerto desconhecido órgão digestivo
D38,Neoplasia comportamento incerto desconhecido ouvido médio órgãos respiratórios intratorácicos
D380,Neoplasia comportamento incerto desconhecido laringe
D381,Neoplasia comportamento incerto desconhecido traquéia
D382,Neoplasia comportamento incerto desconhecido pleura
D383,Neoplasia comportamento incerto desconhecido mediastino
D384,Neoplasia comportamento incerto desconhecido timo
D385,Neoplasia comportamento incerto desconhecido outros órgãos respiratórios
D386,Neoplasia comportamento incerto desconhecido órgão respiratório
D39,Neoplasia comportamento incerto desconhecido órgãos genitais femininos
D390,Neoplasia comportamento incerto desconhecido útero
D391,Neoplasia comportamento incerto desconhecido ovário
D392,Neoplasia comportamento incerto desconhecido placenta
D397,Neoplasia comportamento incerto desconhecido outros órgãos genitais femininos
D399,Neoplasia comportamento incerto desconhecido órgão genital feminino
D40,Neoplasia comportamento incerto desconhecido órgãos genitais masculinos
D400,Neoplasia comportamento incerto desconhecido próstata
D401,Neoplasia comportamento incerto desconhecido testículo
D407,Neoplasia comportamento incerto desconhecido outros órgãos genitais masculinos
D409,Neoplasia comportamento incerto desconhecido órgão genital masculino
D41,Neoplasia comportamento incerto desconhecido órgãos urinários
D410,Neoplasia comportamento incerto desconhecido rim
D411,Neoplasia comportamento incerto desconhecido pelve renal
D412,Neoplasia comportamento incerto desconhecido ureter
D413,Neoplasia comportamento incerto desconhecido uretra
D414,Neoplasia comportamento incerto desconhecido bexiga
D417,Neoplasia comportamento incerto desconhecido outros órgãos urinários
D419,Neoplasia comportamento incerto desconhecido órgão urinário
D42,Neoplasia comportamento incerto desconhecido meninges
D420,Neoplasia comportamento incerto desconhecido meninges cerebrais
D421,Neoplasia comportamento incerto desconhecido meninges espinhais
D429,Neoplasia comportamento incerto desconhecido meninges não especificadas
D43,Neoplasia comportamento incerto desconhecido encéfalo sistema nervoso central
D430,Neoplasia comportamento incerto desconhecido encéfalo
D431,Neoplasia comportamento incerto desconhecido encéfalo
D432,Neoplasia comportamento incerto desconhecido encéfalo
D433,Neoplasia comportamento incerto desconhecido nervos cranianos
D434,Neoplasia comportamento incerto desconhecido medula espinhal
D437,Neoplasia comportamento incerto desconhecido outras partes sistema nervoso central
D439,Neoplasia comportamento incerto desconhecido sistema nervoso central
D44,Neoplasia comportamento incerto desconhecido glândulas endócrinas
D440,Neoplasia comportamento incerto desconhecido glândula tireóide
D441,Neoplasia comportamento incerto desconhecido glândula supra-renal (adrenal)
D442,Neoplasia comportamento incerto desconhecido glândula paratireóide
D443,Neoplasia comportamento incerto desconhecido glândula hipófise (pituitária)
D444,Neoplasia comportamento incerto desconhecido conduto craniofaríngeo
D445,Neoplasia comportamento incerto desconhecido glândula pineal
D446,Neoplasia comportamento incerto desconhecido corpo carotídeo
D447,Neoplasia comportamento incerto desconhecido corpos aórticos outros paragânglios
D448,Neoplasia comportamento incerto desconhecido comprometimento pluriglandular
D449,Neoplasia comportamento incerto desconhecido glândula endócrina
D45,Policitemia vera
D46,Síndromes mielodisplásicas
D460,Anemia refratária sideroblastos
D461,Anemia refratária sideroblastos
D462,Anemia refratária excesso blastos
D463,Anemia refratária excesso blastos transformação
D464,Anemia refratária
D467,Outras síndromes mielodisplásicas
D469,Síndrome mielodisplásica
D47,Outras neoplasias comportamento incerto desconhecido tecidos linfático
D470,Tumores comportamento incerto desconhecido mastócitos células histiocíticas
D471,Doença mieloproliferativa crônica
D472,Gamopatia monoclonal
D473,Trombocitemia essencial (hemorrágica)
D477,Outras neoplasias especificadas comportamento incerto desconhecido tecidos linfático
D479,Neoplasia comportamento incerto desconhecido tecidos linfático
D48,Neoplasia comportamento incerto desconhecido outras localizações localizações não especificadas
D480,Neoplasia comportamento incerto desconhecido ossos cartilagens articulares
D481,Neoplasia comportamento incerto desconhecido tecido conjuntivo outros tecidos moles
D482,Neoplasia comportamento incerto desconhecido nervos periféricos sistema nervoso periférico
D483,Neoplasia comportamento incerto desconhecido retroperitônio
D484,Neoplasia comportamento incerto desconhecido peritônio
D485,Neoplasia comportamento incerto desconhecido pele
D486,Neoplasia comportamento incerto desconhecido mama
D487,Neoplasia comportamento incerto desconhecido outras localizações especificadas
D489,Neoplasia comportamento incerto desconhecido outra especificação
D50,Anemia deficiência ferro
D500,Anemia deficiência ferro secundária à perda sangue (crônica)
D501,Disfagia sideropênica
D508,Outras anemias deficiência ferro
D509,Anemia deficiência ferro não especificada
D51,Anemia deficiência vitamina B12
D510,Anemia deficiência vitamina B12 devida à deficiência fator intrínseco
D511,Anemia deficiência vitamina B12 devida à má-absorção seletiva vitamina B12 proteinúria
D512,Deficiência transcobalamina II
D513,Outras anemias deficiência vitamina B12 na dieta
D518,Outras anemias deficiência vitamina B12
D519,Anemia deficiência vitamina B12 não especificada
D52,Anemia deficiência folato
D520,Anemia deficiência folato na dieta
D521,Anemia deficiência folato induzida drogas
D528,Outras anemias deficiência folato
D529,Anemia deficiência folato não especificada
D53,Outras anemias nutricionais
D530,Anemia deficiência proteínas
D531,Outras anemias megaloblásticas não classificadas outras partes
D532,Anemia escorbútica
D538,Outras anemias nutricionais especificadas
D539,Anemia nutricional não especificada
D55,Anemia devida transtornos enzimáticos
D550,Anemia devida à deficiência glicose-6-fosfato-desidrogenase [G-6-PD]
D551,Anemia devida outros transtornos metabolismo glutation
D552,Anemia devida transtornos enzimas glicolíticas
D553,Anemia devida transtornos metabolismo nucleotídios
D558,Outras anemias devidas transtornos enzimáticos
D559,Anemia devida transtorno enzimático não especificada
D56,Talassemia
D560,Talassemia alfa
D561,Talassemia beta
D562,Talassemia delta-beta
D563,Estigma talassêmico
D564,Persistência hereditária hemoglobina fetal
D568,Outras talassemias
D569,Talassemia não especificada
D57,Transtornos falciformes
D570,Anemia falciforme crise
D571,Anemia falciforme crise
D572,Transtornos falciformes heterozigóticos duplos
D573,Estigma falciforme
D578,Outros transtornos falciformes
D58,Outras anemias hemolíticas hereditárias
D580,Esferocitose hereditária
D581,Eliptocitose hereditária
D582,Outras hemoglobinopatias
D588,Outras anemias hemolíticas hereditárias especificadas
D589,Anemia hemolítica hereditária não especificada
D59,Anemia hemolítica adquirida
D590,Anemia hemolítica auto-imune induzida droga
D591,Outras anemias hemolíticas auto-imunes
D592,Anemia hemolítica não-auto-imune induzida drogas
D593,Síndrome hemolítico-urêmica
D594,Outras anemias hemolíticas não-autoimunes
D595,Hemoglobinúria paroxística noturna [Marchiafava-Micheli]
D596,Hemoglobinúria devida à hemólise outras causas externas
D598,Outras anemias hemolíticas adquiridas
D599,Anemia hemolítica adquirida não especificada
D60,Aplasia pura série vermelha
D600,Aplasia pura adquirida crônica série vermelha
D601,Aplasia pura adquirida transitória série vermelha
D608,Outras aplasias puras adquiridas série vermelha
D609,Aplasia pura adquirida
D61,Outras anemias aplásticas
D610,Anemia aplástica constitucional
D611,Anemia aplástica induzida drogas
D612,Anemia aplástica devida outros agentes externos
D613,Anemia aplástica idiopática
D618,Outras anemias aplásticas especificadas
D619,Anemia aplástica não especificada
D62,Anemia aguda pós-hemorrágica
D63,Anemia doenças crônicas classificadas outra parte
D630,Anemia neoplasias
D638,Anemia outras doenças classificadas outra parte
D64,Outras anemias
D640,Anemia sideroblástica hereditária
D641,Anemia sideroblástica secundária doença
D642,Anemia sideroblástica secundária uso drogas toxinas
D643,Outras anemias sideroblásticas
D644,Anemia diseritropoética congênita
D648,Outras anemias especificadas
D649,Anemia não especificada
D65,Coagulação intravascular disseminada [síndrome desfibrinação]
D66,Deficiência hereditária fator VIII
D67,Deficiência hereditária fator IX
D68,Outros defeitos coagulação
D680,Doença Von Willebrand
D681,Deficiência hereditária fator XI
D682,Deficiência hereditária outros fatores coagulação
D683,Transtorno hemorrágico devido anticoagulantes circulantes
D684,Deficiência adquirida fator coagulação
D688,Outros defeitos especificados coagulação
D689,Defeito coagulação não especificado
D69,Púrpura outras afecções hemorrágicas
D690,Púrpura alérgica
D691,Defeitos qualitativos plaquetas
D692,Outras púrpuras não-trombocitopênicas
D693,Púrpura trombocitopênica idiopática
D694,Outra trombocitopenia primária
D695,Trombocitopenia secundária
D696,Trombocitopenia não especificada
D698,Outras afecções hemorrágicas especificadas
D699,Afecção hemorrágica não especificada
D70,Agranulocitose
D71,Transtornos funcionais neutrófilos polimorfonucleares
D72,Outros transtornos glóbulos brancos
D720,Anomalias genéticas leucócitos
D721,Eosinofilia
D728,Outros transtornos especificados glóbulos brancos
D729,Transtornos não especificados glóbulos brancos
D73,Doenças baço
D730,Hipoesplenismo
D731,Hiperesplenismo
